# Table A7 of Millero and Pierrot (1998) doi:10.1023/A:1009656023546
# Coefficients for P = P_R + P_J * (298.15**3 / 3 - 298.15**2 * P_RL ) * (1/T - 1/298.15) + P_J * (1/6) * (T**2 - 298.152)
Parameter,Salt,PR,PJ,PLR,Range,References
beta_0,NaI,0.1195,-1.01E-5,8.355E-4,0-50,(a) (b) (c)
beta_1,NaI,0.3439,-2.54E-5,8.28E-4,,
C_phi,NaI,0.0018,0,-0.835E-4,,
beta_0,NaBr,0.0973,-1.3E-5,7.692E-4,0-50,(a) (b) (c)
beta_1,NaBr,0.2791,-1.06E-5,10.79E-4,,
C_phi,NaBr,0.00116,0.16405E-5,-0.93E-4,,
beta_0,NaF,0.215,-2.37E-5,5.361E-8,0-50,(a)(b)(c)
beta_1,NaF,0.2107,0,8.7E-8,,
C_phi,NaF,0,0,0,,
beta_0,KBr,0.0569,-1.43E-5,7.39E-4,0-50,(a) (b) (c)
beta_1,KBr,0.2122,-0.762E-5,1.74E-4,,
C_phi,KBr,-0.0018,0.216,-0.7004E-5,,
beta_0,KF,0.08089,-1.39E-5,2.14E-4,0-50,(a) (b) (c)
beta_1,KF,0.2021,0,5.44E-4,,
C_phi,KF,0.00093,0,0.595E-4,,
beta_0,KOH,0.1298,-0.946E-5,9.914E-4,0-50,(a)(c)
beta_1,KOH,0.32,-2.59E-5,11.86E-4,,
C_phi,KOH,0.0041,0.0638E-5,-0.944E-4,,
beta_0,KI,0.0746,-0.748E-5,9.914E-4,0-50,(a)(b)(c)
beta_1,KI,0.2517,-1.8E-5,11.86E-4,,
C_phi,KI,-0.00414,0,-0.944E-4,,
beta_0,NaClO3,0.0249,-1.56E-5,10.35E-4,0-50,(a) (b) (c)
beta_1,NaClO3,0.2455,-2.69E-5,19.07E-4,,
C_phi,NaClO3,0.0004,0.222E-5,9.29E-4,,
beta_0,KClO3,-0.096,15.1E-5,19.87E-4,0-50,(a) (b) (c)
beta_1,KClO3,0.2841,-27E-5,31.8E-4,,
C_phi,KClO3,0,-19.1E-5,0,,
beta_0,NaClO4,0.0554,-0.611E-5,12.96E-4,0-50,(a) (b) (c)
beta_1,NaClO4,0.2755,-6.35E-5,22.97E-4,,
C_phi,NaClO4,-0.00118,0.0562E-5,-1.623E-4,,
beta_0,NaBrO3,-0.0205,-6.5E-5,5.59E-4,0-50,(a) (b) (c)
beta_1,NaBrO3,0.191,5.45E-5,34.37E-4,,
C_phi,NaBrO3,0.0059,2.5E-5,0,,
beta_0,KBrO3,-0.129,9.17E-5,5.59E-4,0-50,(a) (c)
beta_1,KBrO3,0.2565,-20.2E-5,34.37E-4,,
C_phi,KBrO3,0,-26.6E-5,0,,
beta_0,NaNO3,0.0068,-2.24E-5,12.66E-4,0-50,(a) (b) (c)
beta_1,NaNO3,0.1783,-2.96E-5,20.6E-4,,
C_phi,NaNO3,-0.00072,0.594E-5,-2.316E-4,,
beta_0,KNO3,-0.0816,-0.785E-5,2.06E-4,0-50,(a) (b) (c)
beta_1,KNO3,0.0494,-8.26E-5,64.5E-4,,
C_phi,KNO3,0.0066,0,3.97E-4,,
beta_0,Mg(NO3)2,0.367125,-1.2322E-5,5.15E-4,0-50,(a) (b) (d)
beta_1,Mg(NO3)2,1.58475,4.0492E-5,44.925E-4,,
C_phi,Mg(NO3)2,-0.020625,0,0,,
beta_0,Ca(NO3)2,0.210825,4.0248E-5,5.295E-4,0-50,(a) (b) (d)
beta_1,Ca(NO3)2,1.40925,-13.289E-5,91.875E-4,,
C_phi,Ca(NO3)2,-0.020142,-15.435E-5,0,,
beta_0,HBr,0.196,-0.357E-5,-2.049E-4,0-50,(a) (b) (c)
beta_1,HBr,0.3564,-0.913E-5,4.467E-4,,
C_phi,HBr,0.00827,0.01272E-5,-0.5685E-4,,
beta_0,SrCl2,0.28575,-0.18367E-5,7.1E-4,0-50,(a) (b) (d)
beta_1,SrCl2,1.66725,0,28.425E-4,,
C_phi,SrCl2,-0.0013,0,0,,
beta_0,NH4Cl,0.0522,-0.597E-5,0.779E-4,0-50,(a) (b) (c)
beta_1,NH4Cl,0.1918,0.444E-5,12.58E-4,,
C_phi,NH4Cl,-0.00301,0.0578E-5,0.21E-4,,
beta_0,NH4Br,0.0624,-0.597E-5,0.779E-4,0-50,(a) (c)
beta_1,NH4Br,0.1947,0,12.58E-4,,
C_phi,NH4Br,-0.00436,0,0.21E-4,,
beta_0,NH4F,0.1306,1.09E-5,0.95E-4,,(a) (b) (c)
beta_1,NH4F,0.257,0,5.97E-4,,
C_phi,NH4F,-0.0043,0,0,,
